-101, -119, 142 
-795, -877, -895, -731 
-795, -877, -895, -731 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-795, -877, -895, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -877, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -806 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-864, -946, -964, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -946, -1041, -881 
-944, -1024, -1041, -881 
-944, -1024, -1041, -881 
